hqdm:f5ac9254-2b93-4ed7-b89e-70994842b438,hqdmRelation:94d5cc9f-677f-4b4a-a822-4a9c13efcb8d,hqdm:dd8359c4-0a2b-416a-af27-3bcb0551b41a
hqdm:f5ac9254-2b93-4ed7-b89e-70994842b438,hqdmRelation:be3010c6-ef33-4291-8af6-ddb8d1c0f689,hqdm:a5dc8c36-56fc-44c2-909b-7592b1f44fd7
hqdm:f5ac9254-2b93-4ed7-b89e-70994842b438,hqdmRelation:d59061a7-1c02-4f0f-b157-2a6fa668bb9d,hqdm:dd8359c4-0a2b-416a-af27-3bcb0551b41a
hqdm:f5ac9254-2b93-4ed7-b89e-70994842b438,hqdmRelation:7e249a64-9f13-47d3-a232-562a3d080198,hqdm:state_of_biological_object
hqdm:f5ac9254-2b93-4ed7-b89e-70994842b438,hqdmRelation:ce789976-153f-45da-81cf-70f6665c0853,hqdm:6beb4515-89e8-4bce-9318-77935200f9bb
hqdm:f5ac9254-2b93-4ed7-b89e-70994842b438,hqdmRelation:f6ebbbfd-c0c5-491c-8da2-2fdb5b822d15,hqdm:545b4541-8a34-46b8-8704-2265be0244c3
hqdm:f5ac9254-2b93-4ed7-b89e-70994842b438,hqdmRelation:fd7144fc-b82c-414b-809b-4bd87a66531a,hqdm:545b4541-8a34-46b8-8704-2265be0244c3
hqdm:f5ac9254-2b93-4ed7-b89e-70994842b438,hqdmRelation:ee9dbef6-449f-443a-bdfe-6a0c026bddb6,hqdm:dd8359c4-0a2b-416a-af27-3bcb0551b41a
hqdm:f5ac9254-2b93-4ed7-b89e-70994842b438,hqdmRelation:a6472825-0e97-46cb-a9ec-5a512343705b,hqdm:4a8cba08-035c-4902-935b-26da61ed282c
hqdm:f5ac9254-2b93-4ed7-b89e-70994842b438,hqdmRelation:d6865f69-4c0c-4a3d-9d95-803ddce86b82,hqdm:21c1fe82-1b48-46b3-8df8-6bddcbb2d92e
hqdm:f5ac9254-2b93-4ed7-b89e-70994842b438,hqdmRelation:5ec56b95-7945-45ce-b3eb-c96bda096cc9,hqdm:dd8359c4-0a2b-416a-af27-3bcb0551b41a
hqdm:f5ac9254-2b93-4ed7-b89e-70994842b438,hqdmRelation:1f983e8a-7db1-4374-8fb1-7e8a432a967e,hqdm:f9cb048d-a2f7-4ff6-b824-c59b44e2aabe
hqdm:f5ac9254-2b93-4ed7-b89e-70994842b438,hqdmRelation:7e249a64-9f13-47d3-a232-562a3d080198,hqdm:state_of_physical_object
hqdm:f5ac9254-2b93-4ed7-b89e-70994842b438,hqdmRelation:ce789976-153f-45da-81cf-70f6665c0853,hqdm:09ff1076-4557-48d3-b4eb-e4db4e8824ca
hqdm:f5ac9254-2b93-4ed7-b89e-70994842b438,hqdmRelation:d6865f69-4c0c-4a3d-9d95-803ddce86b82,hqdm:db723822-93f7-4c1d-8f17-fb094a5c10d9
hqdm:f5ac9254-2b93-4ed7-b89e-70994842b438,hqdmRelation:1f983e8a-7db1-4374-8fb1-7e8a432a967e,hqdm:13bebbab-ce5c-4c3b-ac77-66713f303a0a
hqdm:f5ac9254-2b93-4ed7-b89e-70994842b438,hqdmRelation:7e249a64-9f13-47d3-a232-562a3d080198,hqdm:state
hqdm:f5ac9254-2b93-4ed7-b89e-70994842b438,hqdmRelation:ce789976-153f-45da-81cf-70f6665c0853,hqdm:fabc65fd-5fe0-4f68-87bb-b4eb93eb2f1b
hqdm:f5ac9254-2b93-4ed7-b89e-70994842b438,hqdmRelation:d6865f69-4c0c-4a3d-9d95-803ddce86b82,hqdm:58107227-267a-4f2e-a44a-25bb61c6a455
hqdm:f5ac9254-2b93-4ed7-b89e-70994842b438,hqdmRelation:1f983e8a-7db1-4374-8fb1-7e8a432a967e,hqdm:dd8359c4-0a2b-416a-af27-3bcb0551b41a
hqdm:f5ac9254-2b93-4ed7-b89e-70994842b438,hqdmRelation:7e249a64-9f13-47d3-a232-562a3d080198,hqdm:spatio_temporal_extent
hqdm:f5ac9254-2b93-4ed7-b89e-70994842b438,hqdmRelation:ce789976-153f-45da-81cf-70f6665c0853,hqdm:bb6f6d3f-1ed1-41ab-942c-6b3667c5da37
